
央视频道,#genre#
CCTV1综合,http://tvbox6.icu/tv/migu.php?id=cctv1$LR•IPV4•6『线路1』
CCTV1综合,http://74.91.26.218:82/live/cctv1hd.m3u8$LR•IPV4•6『线路2』
CCTV1综合,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8$LR•IPV4•6『线路3』
CCTV1综合,http://182.150.23.74:808/hls/1/index.m3u8$LR•IPV4•6『线路4』
CCTV1综合,http://182.114.48.224:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•6『线路5』
CCTV1综合,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8$LR•IPV4•6『线路6』
CCTV2财经,http://43.251.226.89:8080/play/2.m3u8$LR•IPV4•8『线路1』
CCTV2财经,http://112.27.235.94:8000/hls/2/index.m3u8$LR•IPV4•8『线路2』
CCTV2财经,http://tvbox6.icu/tv/migu.php?id=cctv2$LR•IPV4•8『线路3』
CCTV2财经,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8$LR•IPV4•8『线路4』
CCTV2财经,http://118.193.115.2:9901/tsfile/live/0002_1.m3u8?key=txiptv$LR•IPV4•8『线路5』
CCTV2财经,http://182.114.48.224:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•8『线路6』
CCTV2财经,http://183.11.239.36:808/hls/20/index.m3u8$LR•IPV4•8『线路7』
CCTV2财经,http://182.150.23.74:808/hls/2/index.m3u8$LR•IPV4•8『线路8』
CCTV3综艺,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•9『线路1』
CCTV3综艺,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8$LR•IPV4•9『线路2』
CCTV3综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•9『线路3』
CCTV3综艺,http://tvbox6.icu/tv/migu.php?id=cctv3$LR•IPV4•9『线路4』
CCTV3综艺,http://74.91.26.218:82/live/cctv3hd.m3u8$LR•IPV4•9『线路5』
CCTV3综艺,http://121.57.88.206:898/hls/3/index.m3u8$LR•IPV4•9『线路6』
CCTV3综艺,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8$LR•IPV4•9『线路7』
CCTV3综艺,http://112.46.85.60:8009/hls/3/index.m3u8$LR•IPV4•9『线路8』
CCTV3综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•9『线路9』
CCTV4中文国际,http://tvbox6.icu/tv/migu.php?id=cctv4$LR•IPV4•8『线路1』
CCTV4中文国际,http://tvbox6.icu/tv/migu.php?id=cctv4o$LR•IPV4•8『线路2』
CCTV4中文国际,http://tvbox6.icu/tv/migu.php?id=cctv4a$LR•IPV4•8『线路3』
CCTV4中文国际,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$LR•IPV4•8『线路4』
CCTV4中文国际,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8$LR•IPV4•8『线路5』
CCTV4中文国际,http://124.116.183.146:9901/tsfile/live/0004_1.m3u8$LR•IPV4•8『线路6』
